"Variable Name","Question","Answer Options","","","","",""
"Gender","What is your gender?","Female","Male","Other","","",""
"Age","What was your age last birthday?","Numeric value (in years)","","","","",""
"Height","What is your height?","Numeric value (in meters)","","","","",""
"Weight","What is your weight?","Numeric value (in kilograms)","","","","",""
"Family_Member_Overweight","Has a family member suffered or suffers from being overweight?","Yes","No","","","",""
"High_Calorie_Intake","Do you eat high caloric food frequently?","Yes","No","","","",""
"Eat_Vegetables","Do you usually eat vegetables in your meals?","No","Sometimes","Always","","",""
"Num_Daily_Meals","How many main meals do you have daily?","1","2","3","More than 3","",""
"Between_Meals","Do you eat any food between meals?","No","Sometimes","Frequently","Always","",""
"Smoker","Do you smoke?","Yes","No","","","",""
"Daily_Water","How much water do you drink daily?","Less than 1 litre","1 to < 2 litres","2 litres or more","","",""
"Calories_Monitored","Do you monitor the calories you eat daily?","Yes","No","","","",""
"Physical_Activity","How many days per week are you physically active?","0 days","1 or 2 days","3 to 5 days","6 or 7 days","",""
"Time_Use_Tech_Devices","How much time do you use technological devices such as cell phone, videogames, television, computer and others?","0 to < 2 hours","2 to < 5 hours","More than 5 hours","","",""
"Alcohol_Frequency","How often do you drink alcohol?","Do not drink","Sometimes","Frequently","","",""
"Transportation","Which transportation do you usually use?","Automobile","Motorbike","Bike","Public Transportation","Walking",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"BMI","Body mass index","Weight/Height*Height","","","","",""
"Classification","","Underweight Less than 18.5","Normal 18.5 to 24.9","Overweight 25.0 to 29.9","Obesity I 30.0 to 34.9","Obesity II 35.0 to 39.9","Obesity III Higher than 40"
